Address;Title;Description;Rooms;Living Space (sqm);Price;Nearest Station Distance (m);Station Canton
2052 La Vue-des-Alpes;UNIQUE ! SPLENDIDE ATTIQUE AU COEUR DE LA NATURE !;;2.5;160.0;813750.0;7439.0;Neuchâtel
1965 Granois (Savièse);2.5 pces neuf situé dans un quartier résidentiel de Savièse;;2.5;67.0;774690.0;4674.0;Valais
Chemin de Maze 17, 3963 Crans-Montana, 3971 Chermignon;EN DIRECT DU PROMOTEUR ! NOUVELLE PROMOTION A CHERMIGNON;;2.5;62.0;861270.0;6621.0;Valais
Hintergasse 8, 4461 Böckten;Sissach - Böckten - Gelterkinden, 3.5 Zimmer Eigentumswohnung WA4;;3.5;170.0;1256430.0;5069.0;Basel-Landschaft
Grand Champsec, 1950 Sion;Lot D-101 - Studio au 1er;"Fitness, sauna, salle de jeux et de réunion, potagers et plus encore...L'écoquartier « Greenparc » se situe dans le quartier de Champsec à Sion, à proximité de toutes les commodités et des transports publics.Véritable écrin de verdure intégré au tissu urbain, ce projet composé de 8 immeubles à haute efficacité énergétique et à l'architecture épurée propose 191 appartements allant du studio au 4.5 pièces, spacieux et confortables.Vous y trouverez certainement votre futur cocon ! *** PHASE II - Spécial investisseur ***Vous cherchez à investir dans l'immobilier, découvrez de suite les nombreux studios à acheter. La liste des appartements disponibles peut être consultée sur www.greenparc.immo.***Le lot D-101 est un studio de 23 m2 au 1er, distribué comme suit :. hall d'entrée. cuisine ouverte sur le séjour. un espace séparé pour la chambre. une salle de bain avec baignoire, WC et espace pour la colonne de lavageEn annexe : Place(s) de parking intérieure(s) prédéfinie(s) (en sus du prix) ; numéro(s), emplacement(s) et dimension(s) à consulter auprès de notre agence.";2.5;23.0;263000.0;2361.0;Valais
Grand Champsec, 1950 Sion;Lot E-204 - Appartement de 2.5 pièces au 2ème étage;"Fitness, sauna, salle de jeux et de réunion, potagers et plus encore...L'écoquartier « Greenparc » se situe dans le quartier de Champsec à Sion, à proximité de toutes les commodités et des transports publics.Ecrin de verdure intégré au tissu urbain, il offre des espaces de vie de haute qualité avec, notamment, des surfaces commerciales et des surfaces communes intérieures ou extérieures dédiées à votre bien-être.Il est composé de 8 immeubles à haute efficience énergétique et à l'architecture épurée. Totalisant 191 appartements allant du studio au 4.5 pièces, spacieux et confortables, vous y trouverez certainement votre futur cocon !La liste des appartements disponibles peut être consultée sur www.greenparc.immo.***Le lot E-204 est un appartement de 2.5 pièces de 84 m2 au 2ème étage, avec un balcon de 14 m2 distribué comme suit :. hall d'entrée. cuisine ouverte sur le séjour donnant accès au balcon. une salle de bain avec baignoire et WC séparé. deux chambres à coucher. une armoire avec colonne de lavage intégréeEn annexe : Place(s) de parking intérieure(s) prédéfinie(s) (en sus du prix) ; numéro(s), emplacement(s) et dimension(s) à consulter auprès de notre agence.";2.5;62.0;716100.0;2361.0;Valais
Oberzelgstrasse, 8493 Saland;Doppeleinfamilienhaus in familienfreundlicher Umgebung;;4.5;220.0;1727750.0;611.0;Zürich
Terrassenstrasse 41, 2553 Safnern;2.5-Zimmer-Terrassenhaus mit Aussicht auf Alpen und Aarelandschaft;"MikrolageNATUR- UND STADTNAH:- kurze Entfernung zur Stadt Biel und gut mit Auto, Velo oder Bus erreichbar- direkter Zugang zu Freizeitaktivitäten und NaherholungDie neuen Terrassenhäuser liegen in einem ruhigen Wohnquartier an privilegierter Hanglage. Diese erhöhte Lage ermöglicht eine gute Besonnung und einen schönen Weitblick auf die Alpen und die Natur.Der ""Volg"" und die Bushaltestelle sind in wenigen Gehminuten erreichbar. Mit dem Auto sind Biel und Solothurn mit ihren Verbindungsstrassen in wenigen Fahrminuten erreichbar.Das Schulhaus Räbli mit der Primar- und Tagesschule ist sehr nah und für Kinder durch Quartierstrassen und ohne Überquerung grosser Hauptstrassen zu erreichen.In unmittelbarer Nähe befinden sich die Wälder Riedrain und Burgerwald mit Naturschutzgebiet und Spielplatz. Auch auf dem Terrain der Terrassenhäuser befindet sich ein eigener Spielplatz. Zudem sind die Aare und das Häftli nicht weit entfernt. KaufobjektNATURVERBUNDENES WOHNEN FÜR QUALITÄTSBEWUSSTE:- hoher Nutzungs- und Wohlfühl-Faktor- grosse Detailtreue und Nachhaltigkeit im Einklang mit der NaturPer 01. November 2024 erstellen wir für Sie an exklusiver Hanglage 4 Liegenschaften mit je 4 hellen, sonnigen und barrierefreien Terrassenhäusern. Die modernen 2.5-, 4.5-, und 5.5-Zimmer-Häuser bieten einen hohen Ausbaustandard und durch die erhöhte Lage eine tolle Aussicht auf die Alpen und die Aarelandschaft.Die eingeschossigen Einheiten liegen alle -inklusive Keller, Waschküche und Vorraum- auf einer Ebene, was für viel Wohnqualität spricht. Jedes Haus bietet eine grosse, ungedeckte Sonnenterrasse mit traumhafter Aussicht. Die meisten Häuser haben zudem noch eine gedeckte Terrasse zum verweilen, auch bei schlechtem Wetter.Zu den Liegenschaften gehört ein gemeinsamer Spielplatz, zwei Einstellhallen, aufgeteilt auf zwei Ebenen sowie Besucherparkplätze, ein Velo- und Kehrrichtraum. Die Terrassenhäuser werden somit eindeutig verschiedenen Zielgruppen gerecht. Im Vordergrund stehen bei den barrierefreien Häusern das Wohlfühlambiente und der direkte Bezug zur Natur.Weitere Informationen können Sie der übersichtlichen, attraktiven Homepage entnehmen:www.zileten.chErgreifen Sie auch die Gelegenheit für ein persönliches Gespräch mit uns. Wir erwarten gerne Ihren Anruf.";2.5;140.0;1093680.0;7573.0;Solothurn
Byfang, 3664 Burgistein;Neubau familienfreundliches Einfamilienhaus in Burgistein;;3.5;180.0;1726450.0;9792.0;Bern
1228 Plan-les-Ouates;Nouveau projet - Triplex HPE neuf de 3 pièces avec terrasses (Lot C);;3.0;260.0;2473800.0;6119.0;Genève
Egliswilerstrasse, 5707 Seengen;Exklusive Terrassenwohnungen in Seengen;"An der Egliswilerstrasse, am Dorfrand der Aargauer Hallwilersee-Gemeinde Seengen, lädt die Überbauung SENGA schon bald zu einem einzigartigen Wohnerlebnis zwischen Natur, See und Dorf ein.Ab Dezember 2024 werden 8 massgeschneiderte Terrassenwohnungen mit 3.5-Zimmer an Ihre neuen Liebhaber verkauft. Die qualitativ hochwertigen Wohnungen im Minergie-Standard zeichnen sich durch folgende Eigenschaften aus: • ausschliesslich hochwertige Materialien • durchdachte Raumaufteilung • durchschnittlich grosse Wohnflächen • helle Räumlichkeiten • grosszügige und sonnige Terrasse mit Aussicht ins Grüne • direkter Zugang zur Wohnung mit Lift Als Käufer können Sie, sofern es der Baufortschritt zulässt, folgende Entscheide im Ausbau mitbestimmen und selbst gestalten: • Gestaltung der Nasszellen • Gestaltung der Küche inkl. Auswahl der Küchengeräte • Elektroinstallationen • Grundrissoptimierung durch Verschiebung und Anpassung von innenliegenden Wänden • Wand- und Bodenbeläge Die Überbauung befindet sich an ruhiger Lage im idyllischen Wohnquartier Seengen. Die Gemeinde zeichnet sich durch den schönen Hallwilersee aus, welcher zu langen Spaziergängen und zum Baden im Sommer einlädt. Nur wenige Meter von der Haustüre entfernt, befindet sich die Busstation. Stadtzentren wie Lenzburg oder Aarau sind innert wenigen Minuten mit dem ÖV oder dem Auto erreichbar.Weitere Informationen zur Überbauung, sowie die Auswahl Ihrer Traumwohnung finden Sie auf der Projektwebseite: www.senga-wohnen.chWir freuen uns, Ihnen für ergänzende Auskünfte zur Verfügung zu stehen. Gerne begrüssen wir Sie auch für ein persönliches Gespräch bei uns im Büro oder vor Ort auf der Baustelle.H&amp;B Real Estate AGRemo Zöbeli | Teamleiter Vermarktung WohnenImmobilienbewirtschafter mit eidg. FATel. 044 250 52 03senga@hbre.ch";3.5;160.0;1887900.0;6457.0;Aargau
Via Bertola, 6833 Vacallo;Nuovo appartamento 3.5 locali a Vacallo;;3.5;39.0;494760.0;6117.0;Ticino
Grand Champsec, 1950 Sion;Lot F-104 - Appartement de 2.5 pièces au 1er étage;"Fitness, sauna, salle de jeux et de réunion, potagers et plus encore...L'écoquartier « Greenparc » se situe dans le quartier de Champsec à Sion, à proximité de toutes les commodités et des transports publics.Ecrin de verdure intégré au tissu urbain, il offre des espaces de vie de haute qualité avec, notamment, des surfaces commerciales et des surfaces communes intérieures ou extérieures dédiées à votre bien-être.Il est composé de 8 immeubles à haute efficience énergétique et à l'architecture épurée. Totalisant 191 appartements allant du studio au 4.5 pièces, spacieux et confortables, vous y trouverez certainement votre futur cocon !La liste des appartements disponibles peut être consultée sur www.greenparc.immo.***Le lot F-104 est un appartement de 2.5 pièces de 83.60 m2 au1er étage, avec un balcon de 14 m2 distribué comme suit :. hall d'entrée. cuisine ouverte sur le séjour donnant accès au balcon. une salle de bain avec baignoire et WC séparé. deux chambres à coucher. une armoire avec colonne de lavage intégréeEn annexe : Place(s) de parking intérieure(s) prédéfinie(s) (en sus du prix) ; numéro(s), emplacement(s) et dimension(s) à consulter auprès de notre agence.";2.5;62.0;709590.0;2361.0;Valais
Baumattstrasse 8f, 4813 Uerkheim;Letzte 3.5 Zimmerwohnung | Modernste Sichtbeton-Bauweise;3.5 Zimmerwohnung D7mit 280 m2 Nutzfläche, Baubeginn im April 2023 erfolgt / Letzte verfügbare 3.5 Zimmerwohnung im oberen Trakt!!! Die Highlights: • modernste Sichtbeton-Architektur • eigener Hauseingang, direkte Lifterschliessung von der Tiefgarage bis zur Wohnung • 180 m2 Wohnnutzfläche • 32 m2 Master Bedroom mit Platz für eine XL-Ankleide • 70 m2 grosser Wohnraum (Wohn-Essraum, Küche und Entrée) • 45 m2 Terrasse mit grossem Hochbeet • 2 Nasszellen mit Badewanne oder grosser Dusche • 2 verschiedene Raumhöhen bis 2.72 m • flexible Grundrissgestaltung • individueller Innenausbau • 280 m2 Gesamtnutzfläche • höchste Bauqualität mit Smartcooling-System Modernste Architektur in hochwertiger Sichtbeton-Bauweise, ganztags besonnte und ruhige LageDie Sommerhalde ist ein erfrischender Kontrast zu konventionellen Terrassensiedlungen. Mit ihrer erhöhten, sonnigen Lage, der charakteristischen Architektursprache, einem sorgfältigen Umgang mit Raum und Natur und einer puristischen, hochwertigen Materialisierung bietet die Sommerhalde ein hochklassiges Wohnerlebnis.Ökologie als stetiger Begleiter:Die Gebäudehülle ist darauf ausgelegt, dass nur 80% des gesetzlich zugelassenen Heizwärmebedarfs benötigt werden, was den Anforderungen für Minergiebauten entspricht. Die Beheizung des Gebäudes und die Warmwasseraufbereitung erfolgt über eine Erdwärmepumpe – 100% erneuerbare Energie. Im Sommer kommen Sie in den Genuss eines Smartcooling-Systems, welches die Wohntemperatur bis zu 3 Grad senken kann. Innenseitig ist die Fassade mit einem atmungsaktiven Mineraldämmsystem versehen, welches in allen Räumen für ein angenehmes Wohnklima sorgt.Auch wer Ruhe sucht, ist in der Sommerhalde richtig: Der Schallschutz erfüllt im Aussen- und Innenbereich die erhöhten Anforderungen nach SIA 181.Wir begleiten Sie persönlich von A-ZGerne begleiten wir Sie bei allen Fragen zum Wohnungskauf und bieten Ihnen durch unser fundiertes Wissen und langjähriger Erfahrung höchste Kompetenz.Wir beraten Sie hinsichtlich Vertragswesen, Finanzierung, Planung, Materialauswahl und Einrichtung. Zudem sind wir während der gesamten Bauzeit bis zu Ihrem Einzug und darüber hinaus mit einem starken Team für Sie da.Interessiert? Wir sind für Sie da...Persönlicher Kontakt: Frau Manuela Walti / 078 697 06 66;3.5;180.0;1627500.0;9427.0;Aargau
9500 Wil;+++ www.live-at-sunset.ch - Eleganter Neubau +++;Besuchen Sie unsere Webseite : www.live-at-sunset.chHighlights Architektur- Fortschrittliches Wohnkonzept mit hoher Privatsphäre - Exklusiver Innenausbau- Massgefertigte, hochwertige, moderne Designer-Küchen- Edle Badezimmer mit stilvollen Armaturen- Elternschlafzimmer mit Ensuite-Bad- Grossformatiger Parkett (ca. 2'000mm x 180mm)- Grosse Spezialformate keramischer Platten- Hohe Decken – Raumhöhe mit 2.50 Metern- Raumhohe Türen mit schwellenlosen Übergängen- Übergrosse gedeckte Terrassen (34 bis zu 109.80 m²)- Modernste Haustechnik mit: Smart Home: intelligente Wohnraumsteuerung - Nachhaltiger Bau mit Rücksicht auf die Öko-Bilanz Erdsonde Wärmepumpe mit Free-Cooling-System Photovoltaikanlage mit extensiver Begrünung- Tiefgarage mit vorinstalliertem Lastenmanagement-System - Zusätzliche, individuelle AusbauoptionenHighlights Umgebung- Wunderschöne Aussichtslage- Familienfreundliche Umgebung- Schulen im Ort (Kindergarten bis zur Oberstufe/Gymnasium)- Vielfältige Einkaufsmöglichkeiten- Autobahnanschluss in unmittelbarer Nähe- Vielfältige Freizeitangebote (Golfclubs, Sportvereine, Openair etc.) - Grosses Naherholungsgebiet direkt vor dem Haus (Bodensee, Alpstein)Erleben Sie die perfekte Symbiose aus ländlicher Idylle und zeitlosem, modernem Charme und purer Eleganz.Willkommen in der Welt von „live-at-sunset“, wo Luxus, Eleganz und die Schönheit der Natur aufeinandertreffen. Lassen Sie sich von diesem einzigartigen Projekt begeistern und finden Sie Ihren persönlichen Wohntraum in einer Umgebung, die Ihnen Ruhe, Komfort und ein inspirierendes Lebensgefühl bietet.Unser Neubauprojekt überzeugt nicht nur durch seine herausragende Bauqualität und ästhetische Gestaltung, sondern auch durch eine erstklassige Infrastruktur und einer idealen Anbindung an urbane Zentren. Eines der Annehmlichkeiten, die Ihnen das Leben in dieser exklusiven Wohnanlage erleichtern.Gerne stellen wir Ihnen das Projekt persönlich vor. Vereinbaren Sie einen Termin mit uns.071 929 20 20 und besuchen Sie vorab die Website: www.live-at-sunset.ch. Wir heissen Sie herzlich willkommen in Ihrem neuen Zuhause!+++GLOBOHOME AG - Premium Immobilien Service+++;2.5;130.0;1145760.0;8105.0;Thurgau
Untere Grundgasse 9, 9500 Wil SG;130 m² grosse 3.5-Zi.-Wohnung mit Blick ins Grüne;"Am Grundweg 11 in Wil (1. Etappe) können Sie eine fertig ausgebaute und möblierte Muster-Wohnung sowie das Projekt-Modell 1:200 besichtigen. Vereinbaren Sie einen unverbindlichen Besichtigungstermin.Auf der Sonnenseite an attraktiver und sonniger Hanglage entsteht in der Stadt Wil SG die moderne Wohnüberbauung ""Neualtwil"" - 2. Bauetappe mit 2½- bis 5½-Zimmer-Eigentumswohnungen. Der Bezug ist ab Herbst 2024.Die Stadtbus-Haltestelle ist in unmittelbarer Nähe bei der Grund- oder Hofbergstrasse. Der Bus hat regelmässige Verbindungen Richtung Stadtzentrum und Bahnhof (SBB/IC/IR). Der Autobahnzubringer Wil ist 5 Minuten entfernt. Auch zu Fuss ist das Stadtzentrum (sämtliche Einkaufsmöglichkeiten, Restaurants, Banken, Post, Bahnhof, etc.) in ca. 15 Minuten erreichbar. Die Kinder besuchen alle Schulstufen bis zur Kantonsschule in Wil.Gerne möchten wir Ihnen die wesentlichsten Punkte näher vorstellen. • Die Mehrfamilienhäuser sind optimal angeordnet und besonnt. • moderne Architektur: Dank den teilweise raumhohen Fenstern gelangt sehr viel Licht in die Wohnräume. • Der durchdachte Grundriss bietet viel Raum für individuelles Wohnen. • breiter, grosszügiger Eingangsbereich/Korridor mit Einbauschränken/Garderobe • offene Küche mit modernsten Geräten • grosszügiges Wohnen/Essen/Küche • Bad/Dusche/WC • Jede Wohnung verfügt über einen eigenen Wasch- sowie Kellerraum. • sonniger, gedeckter Balkon • In der Wohnung befindet sich ein Reduit/Abstellraum. • Die Gebäude werden massiv und erdbebensicher erstellt und erreichen ausgezeichnete Schallwerte - 1A-Bauweise - bewährte Vetter-Qualität. • Mit dem Lift gelangen Sie direkt und komfortabel von der Tiefgarage ins Wohngeschoss (rollstuhlgängig). • Für die parkähnliche Umgebungsgestaltung wurde ein erfahrener Landschaftsarchitekt beauftragt. • Alle Bauten werden im Minergie-Standard (zertifiziert) erstellt, so wird auch der Umwelt speziell Sorge getragen. • Die Häuser werden mit Erdwärme / Tiefenbohrungen beheizt. Auf dem Dach wird die hauseigene Photovoltaik-Anlage für die Stromerzeugung montiert. In der Tiefgarage ist ein Management für Elektromobilität vorgesehen. • Jede Wohnung verfügt über eine eigene Komfortlüftung. • Minergie: mehr Wohnqualität, gute Wirtschaftlichkeit, geringer Energieverbrauch, dichtere Gebäudehülle • günstige MINERGIE-Hypotheken (Fragen Sie Ihre Hausbank) Tiefgaragenplatz à Fr. 35'000.00Tiefgaragenplatz mit Abstellraum à Fr. 49'000.002 Tiefgaragenplätze (hintereinander) à Fr. 60'000.00Motorradabstellplatz à Fr. 5'000.00zusätzlicher Abstellraum ab Fr. 16'000.00Die detaillierte Dokumentation über dieses und alle weiteren Projekte finden Sie unter www.vetter.ch. Für einen unverbindlichen Besichtigungstermin steht Ihnen Stefan Vetter unter Telefon 052 369 45 48 oder Mobile 079 278 55 99 gerne zur Verfügung.";3.5;130.0;996030.0;7395.0;Thurgau
1905 Dorénaz;Dorénaz :  appartement neuf de standing de 3.5 pces - Classe énergétique A/A.;Une architecture contemporaine ouverte sur la nature environnante.A la sortie du village et à seulement 10 minutes de St-Maurice ou de Martigny, à l'abri des regards et des nuisances urbaines, la résidence Solaris, promet une vie douce et calme au coeur du Valais. Chaque appartement de 3.5 pièces, offre des surfaces généreuses baignées de lumières et de belles ouvertures qui se prolongent sur le balcon ou le jardin d'hiver. L'adresse idéale pour vivre au calme.Cet appartement de 3.5 pces de 170 m2 bruts habitables est agrémenté d'un joli balcon couvert de 25 m2 orienté sud??.La disposition de ce bien spacieux et lumineux est la suivante :- ?Hall d'entrée avec armoires encastrées- ?Très belle cuisine ouverte moderne et entièrement équipée et son bel espace à manger?- Lumineux espace séjour avec baie vitrée donnant accès à la terrasse- Cellier équipé d'un emplacement pour la colonne de lavage- Belle suite parentale de plus de 20 m2 avec salle d'eau privative avec baignoire- ?2 chambres enfant de 12 m2?- Salle d'eau avec douche, WC, et lavabo - Spacieux balcon dallé orienté plein sud de 25 m2??Surface brute appartement : 122.8 m2Surface balcon brut : 25 m2Surface réduit : 3.8 m2Surface de vente : 170 m2DES PRESTATIONS SOIGNÉESLa résidence Solaris est située à la sortie du village de Dorénaz. Les appartements proposent des vues dégagées soit sur les montagnes environnantes. De larges ouvertures dans toutes les pièces permettent à la lumière naturelle d'irradier les intérieurs pour le bien-être des occupants. Ces espaces se prolongent sur des balcons généreux.Les extérieurs comptent des espaces communs à la résidence dont un espace de jeux pour les enfants.CONFORTSpacieux balcons de 25 m2Evaluation énergétique CECB A/A (très performant)Chauffage et production d'eau chaude au sol, par pompe à chaleur Panneau photovoltaïques pour limiter vos charges d'électricité et de chauffageVentilation contrôléeCheminée pré-tubéeCompteurs séparésVariateurs dans chaque pièceFenêtres et baies vitrées à triple vitrageStores électriques dans le séjourStore solaire en toile pour les balconsRevêtement parquet en chêne pour l'entrée, séjour, cuisine et chambresCarrelage au sol dans les pièces humidesAppareils sanitaires de qualité supérieureEmplacement pour une colonne de lavage dans chaque appartementÉclairage automatique par détecteur de présence dans les parties communesJardin d'hiver possibleAccessible et adapté aux personnes à mobilité réduiteFinitions au gré du preneursAscenseurCave individuelle de rangement pour chaque appartement avec compteur individuel.Place de parc couverte avec borne de recharge pour véhicule électriqueLocal à vélo avec prise de recharge pour vélos électriquePlaces visiteursPlace de jeux pour enfants, engazonnée et clôturéeANNEXES ET PROXIMITé1 Place de parc non couverte : CHF 12'000.- en sus et obligatoire1 Place de parc couverte : CHF 20'000.- en sus et obligatoire1 Local de rangement : CHF 10'000.- en sus et obligatoireArrêt de bus et gare à proximitéÀ 5 minutes des accès autoroutiers Proche des villes et de toutes les commoditésVendable comme résidence principale ou secondaire !Chez nous, la curiosité est un joli défaut ! Appelez- nous pour une visite !;3.5;170.0;855410.0;14976.0;Valais
1897 Bouveret;Plus de 40m2 de pièce de vie;"UNE EXCLUSIVITÉ BERRA IMMOBILIERDécouvrez sans attendre la superbe résidence ""Les Roses du Lac"" au Bouveret, sur la commune de Port-Valais.Le chantier a démarré !Cette PPE orientée Sud-Ouest comprend 13 appartements répartis sur 5 niveaux.CET APPARTEMENT (n°6) AU 2ÈME ÉTAGE EST AGENCÉ COMME SUIT- Entrée avec armoire encastrée- Grande pièce à vivre de plus de 40m2 avec accès au balcon- Chambre parentale de presque 15m2 avec salle d'eau privative- Seconde chambre de 13m2- Seconde salle d'eauPARKING- 1 place extérieure en sus et obligatoire CHF 15'000.-- 1 place extérieure couverte en sus et obligatoire CHF 20'000.-CARACTÉRISTIQUES- Top situation, proche du lac et des commodités- Orientation Sud-Ouest- Superbes volumes intérieurs et extérieurs- Construction selon les normes SIA en vigueur- Chauffage par PAC Air/Eau- Distribution par le sol- Thermostats d'ambiance (séjours et chambres)- Compteurs individuels- Panneaux photovoltaïques- Hottes de cuisine avec filtres plasma- Fenêtres PVC/aluminium blanc- Finitions au gré du preneur- Descriptif complet sur demande- 1 cave/appartementSITUATION COMMODITÉS- Proche de toutes les commodités (poste, Denner etc)- École primaire/UAPE- À quelques encablures de la Marina et du port- Accès autoroutiers à moins de 10 minutesN'hésitez pas à consulter la liste des lots disponibles.Renseignements et rdv : Alban +41 79 464 11 48.***Tous nos biens sont disponibles sur www.berra-immobilier.ch***";2.5;130.0;701770.0;6825.0;Vaud
Grand Champsec, 1950 Sion;Lot H-401 - Appartement de 3.5 pièces au 4ème étage;"Fitness, sauna, salle de jeux et de réunion, potagers et plus encore...L'écoquartier « Greenparc » se situe dans le quartier de Champsec à Sion, à proximité de toutes les commodités et des transports publics.Ecrin de verdure intégré au tissu urbain, il offre des espaces de vie de haute qualité avec, notamment, des surfaces commerciales et des surfaces communes intérieures ou extérieures dédiées à votre bien-être.Il est composé de 8 immeubles à haute efficience énergétique et à l'architecture épurée. Totalisant 191 appartements allant du studio au 3.5 pièces, spacieux et confortables, vous y trouverez certainement votre futur cocon !La liste des appartements disponibles peut être consultée sur www.greenparc.immo.***Le lot H-401 est un appartement de 3.5 pièces de 134 m2 occupant toute la surface du 4ème et dernier étage.Disposant d'un accès direct avec l'ascenseur directement depuis le parking, il est Orienté Sud/Ouest et offre une belle terrasse de 165 m2, ainsi qu'un balcon de 13 m2 côté chambre.Il est distribué comme suit :. hall d'entrée. cuisine ouverte sur le séjour donnant accès à la terrasse. une salle de bain avec baignoire et WC séparé. deux chambres à coucher. une chambre à coucher avec sa salle de douche attenante et son balcon privatif. une armoire avec colonne de lavage intégréeEn annexe : Place(s) de parking intérieure(s) prédéfinie(s) (en sus du prix) ; numéro(s), emplacement(s) et dimension(s) à consulter auprès de notre agence.";3.5;190.0;1288980.0;2361.0;Valais
Stettfurterstrasse 20, 9548 Matzingen TG;2.5-Zi.-Wohnung im 2. OG mit Blick ins Grüne;Wie es der Name bereits erahnen lässt, entstehen beim ehemaligen Standort der alten Käserei in Matzingen sechs hochwertige und optimal besonnte Mehrfamilienhäuser (Miet- und Eigentumswohnungen 2½ bis 5½-Zimmer) mit parkähnlicher Umgebung. Die Lage ist ideal – zentrumsnah und in natürlicher Umgebung der Lauche.Der Bezug der ersten Wohnungen ist voraussichtlich ab Sommer 2025.Diverse Einkaufsmöglichkeiten wie Coop, Migros und Landi sowie viele weitere Angebote sind bequem zu Fuss erreichbar. Der Kindergarten und die Primarschule sind etwa 400 Meter entfernt und die Oberstufe ist mit dem Velo in circa 10 Minuten erreichbar.Dank der ausgezeichneten geografischen Lage ist Matzingen sehr gut an das Verkehrsnetz angebunden. Die Frauenfeld-Wil-Bahn fährt im Halb-Stunden-Takt in die nahen Städte Frauenfeld und Wil. Auch mit dem Auto gelangt man über den A1-Anschluss «Matzingen/Aadorf» schnell nach St. Gallen, Winterthur oder Zürich.Gerne möchten wir Ihnen die wesentlichsten Punkte näher vorstellen. • Die Mehrfamilienhäuser sind optimal angeordnet und besonnt. • Durch den grosszügig konzipierten Grundriss entsteht ein einmaliges Raumgefühl und dank den raumhohen Fenstern gelangt sehr viel Licht in die Räume. • Der breite, grosszügige Eingangsbereich/Korridor mit Einbauschränken und Garderobe bietet viel Stauraum. • Eine offene Küche mit modernsten Geräten und der angrenzende Essbereich bietet viele Möglichkeiten zum geselligen Beisammensein. • Das Elternzimmer verfügt über eine eigene Dusche mit WC. • Ein zusätzliches separates Bad, ebenfalls mit WC, bietet zusätzlichen Komfort. • Jede Wohnung verfügt über einen eigenen Wasch- sowie Kellerraum im Untergeschoss. • Der grosse, gedeckte Balkon mit 42.00 m² bietet viele Möglichkeiten sich zu Verweilen. • In der Wohnung sorgt ein Reduit/Abstellraum für zusätzlichen Stauraum. • Die Gebäude werden massiv und erdbebensicher erstellt und erreichen ausgezeichnete Schallwerte - 1A-Bauweise - bewährte Vetter-Qualität. • Mit dem Lift gelangen Sie direkt und komfortabel von der Tiefgarage ins Wohngeschoss (rollstuhlgängig). • Für die parkähnliche Umgebungsgestaltung wurde ein erfahrener Landschaftsarchitekt beauftragt. • Alle Bauten werden im Minergie-Standard (zertifiziert) erstellt, so wird auch der Umwelt speziell Sorge getragen. • Jede Wohnung verfügt über eine eigene Komfortlüftung. • Die Häuser werden mit Erdwärme / Tiefenbohrungen beheizt und auf dem Dach wird die hauseigene Photovoltaik-Anlage für die Stromerzeugung montiert. • In der Tiefgarage wird ein Management für die Elektromobilität installiert. • Minergie bedeutet: mehr Wohnqualität, gute Wirtschaftlichkeit, geringer Energieverbrauch, dichtere Gebäudehülle. • Einige Banken bieten günstige Minergie-Hypotheken an (Fragen Sie Ihren Finanzberater). Tiefgaragenplatz à Fr. 35'500.00Tiefgaragenplatz mit Abstellraum à Fr. 46'800.00Motorradabstellplatz à Fr. 2'500.00zusätzlicher Abstellraum ab Fr. 12.500.00Für das Projekt wurde ein Modell (Massstab 1:200) angefertigt, welches wir Ihnen gerne in unserem Büro in Lommis im Detail vorstellen. Auf Wunsch kann in der Stadt Wil SG eine möblierte Muster-Wohnung besichtigt werden. Vereinbaren Sie einen unverbindlichen Besichtigungstermin. Für weitere Informationen oder die Terminvereinbarung steht Ihnen Stefan Vetter unter Telefon 052 369 45 48 oder Mobile 079 278 55 99 gerne zur Verfügung. Die detaillierte Dokumentation über dieses und alle weiteren Projekte finden Sie unter www.vetter.ch.;2.5;150.0;989520.0;376.0;Thurgau
Via Primasacc 34, 6926 Collina d'Oro;Residenza Hiding Home;;2.5;25.0;364560.0;3112.0;Tessin
1958 Uvrier;Commodités proches !;Nouvelle promotion à Uvrier de 10 petits immeubles de 3 étages pour un total de 165 appartements allant du studio au 6 pièces dont 30 attiques.Belle situation sur la Rive droite à la Route d'Italie à moins de 500 m du centre commercial de la Coop, du centre scolaire et à 3 min en voiture de la ville de Sion.Avec une architecture contemporaine épurée et une orientation Sud-Ouest pour la plupart des appartements, cette promotion inspire la joie de vivre, d'où son nom « Alegria » !C3-170 :Appartement de 2.5 piècesSurface habitable : 87 m2Balcon : 13 m2Surface de vente : 64 m2Distribution :- 1 Hall d'entrée avec armoire- 1 Chambre avec douche privative- 1 Chambre- 1 Salle de bain avec baignoire- 1 Cuisine équipée ouverte sur l'espace à manger/salon- 1 Balcon de 13 m2- 1 Cave (C132)PARKING :Plus de places extérieures disponibles9 Places de parc pour moto à CHF 8'000.- en sus1 place de parc intérieure (CHF 35'000 en sus et obligatoire)COMMODITÉS :- Centre commercial de la Coop à 150 m- Arrêt de bus à 150 m- Gare CFF à 1 km- Centre scolaire à 1 km- Autoroute à 4,5 km- Centre-ville de Sion à 5 kmDisponible en 2024 !Chez nous la curiosité est un joli défaut ! Alors appelle-nous pour plus d'informations ou une visite !Contact : Cyril 079 464 11 35***Tous les lots disponibles sur www.berra-immobilier.ch***;2.5;64.0;632770.0;5564.0;Valais
